NumPolytopes,NumVertices,CPU_Time_ms,GPU_Time_ms,WarpParallelGPU_Time_ms
10,10,0.009010,0.049562,0.058368
10,25,0.012830,0.052941,0.046899
10,50,0.014650,0.075366,0.060826
10,100,0.022100,0.085709,0.053453
10,200,0.042820,0.132403,0.059290
10,500,0.097600,0.377651,0.125235
50,10,0.025470,0.048538,0.060211
50,25,0.040290,0.059187,0.055398
50,50,0.081040,0.074342,0.082022
50,100,0.122880,0.129946,0.070451
50,200,0.203470,0.275968,0.077722
50,500,0.483010,1.987584,0.201318
100,10,0.051570,0.058061,0.064614
100,25,0.098770,0.068096,0.062464
100,50,0.157090,0.106701,0.072397
100,100,0.236210,0.150323,0.061030
100,200,0.426450,0.304538,0.083456
100,500,1.098170,0.688128,0.193024
500,10,0.249600,0.104346,0.063590
500,25,0.511110,0.108237,0.079667
500,50,0.621330,0.159642,0.085402
500,100,1.182590,0.319386,0.084787
500,200,2.174640,0.544973,0.091034
500,500,5.694880,1.251328,0.232038
1000,10,0.461410,0.192557,0.190586
1000,25,0.930100,0.349104,0.271750
1000,50,1.493720,0.703645,0.330749
1000,100,2.653030,1.721949,0.453872
1000,200,4.659970,3.800992,0.672240
1000,500,10.741270,8.677203,2.394624
5000,10,2.256140,0.400704,0.718202
5000,25,4.412360,0.750067,0.869232
5000,50,7.079560,1.013680,0.958518
5000,100,12.077751,1.748458,1.192275
5000,200,39.695728,4.119300,2.754314
5000,500,70.485489,27.127939,12.596125
